Srl,Full Name,Block,Item /Col.,Field Length,Field_Name,Unnamed: 6,Unnamed: 7,Unnamed: 8,match,field_name,field_type,field_len,Unnamed: 13,Unnamed: 14,Unnamed: 15
64.0,hours actuallly worked for activity 1 on 7 th day,6,6/3.1,2.0,hr17,HR17,N,2.0,1.0,LEAVE_SAS,C,1.0,leave_sas,,
65.0,wage earning for activity 1 on 7 th day,6,9/3.1,5.0,ern17,ERN17,N,5.0,1.0,SSEC_SAS,C,1.0,ssec_sas,,
66.0,Status Code for activity 2,6,4/3.1,2.0,das27,DAS27,C,2.0,1.0,ECOPRD_SAS,C,1.0,ecoprd_sas,,
67.0,Industry Code (NIC) for activity 2,6,5/3.1,2.0,ind27,IND27,C,2.0,1.0,B52C14,C,1.0,,,
68.0,hours actuallly worked for activity 2 on 7 th day,6,6/3.1,2.0,hr27,HR27,N,2.0,1.0,B52C15,C,1.0,,,
69.0,wage earning for activity 2 on 7 th day,6,9/3.1,5.0,ern27,ERN27,N,5.0,1.0,WRK_365,C,1.0,wrk_365,,
70.0,total hours actually worked on 7th day,6,7/3.1,2.0,hr7,HR7,N,2.0,1.0,DUR_PAS,C,1.0,dur_pas,,
71.0,hours available for aditional worked on 7th day,6,8/3.1,2.0,ahr7,AHR7,N,2.0,1.0,DUR_SAS,C,1.0,dur_sas,,
72.0,Status Code for activity 1,6,4/3.2,2.0,das16,DAS16,C,2.0,1.0,EFF_PAS,C,1.0,eff_pas,,
73.0,Industry Code (NIC) for activity 1,6,5/3.2,2.0,ind16,IND16,C,2.0,1.0,DUR_UNP,C,1.0,dur_unp,,
74.0,hours actuallly worked for activity 1 on 6 th day,6,6/3.2,2.0,hr16,HR16,N,2.0,1.0,EVR_WRK,C,1.0,evr_wrk,,
75.0,wage earning for activity 1 on 7 th day,6,9/3.2,5.0,ern16,ERN16,N,5.0,1.0,REA_NW,C,2.0,rea_nw,,
76.0,Status Code for activity 2,6,4/3.2,2.0,das26,DAS26,C,2.0,1.0,REA,C,1.0,rea,,
77.0,Industry Code (NIC) for activity 2,6,5/3.2,2.0,ind26,IND26,C,2.0,1.0,DAS17,C,2.0,das17,,
78.0,hours actuallly worked for activity 2 on 6 th day,6,6/3.2,2.0,hr26,HR26,N,2.0,1.0,IND17,C,2.0,ind17,,
79.0,wage earning for activity 2 on 6 th day,6,9/3.2,5.0,ern26,ERN26,N,5.0,1.0,HR17,N,2.0,hr17,,
80.0,total hours actually worked on 6th day,6,7/3.2,2.0,hr6,HR6,N,2.0,1.0,ERN17,N,5.0,ern17,,
81.0,hours available for aditional worked on 6th day,6,8/3.2,2.0,ahr6,AHR6,N,2.0,1.0,DAS27,C,2.0,das27,,
82.0,Status Code for activity 1,6,4/3.3,2.0,das15,DAS15,C,2.0,1.0,IND27,C,2.0,ind27,,
83.0,Industry Code (NIC) for activity 1,6,5/3.3,2.0,ind15,IND15,C,2.0,1.0,HR27,N,2.0,hr27,,
84.0,hours actuallly worked for activity 1 on5 th day,6,6/3.3,2.0,hr15,HR15,N,2.0,1.0,ERN27,N,5.0,ern27,,
85.0,wage earning for activity 1 on 5 th day,6,9/3.3,5.0,ern15,ERN15,N,5.0,1.0,HR7,N,2.0,hr7,,
86.0,Status Code for activity 2,6,4/3.3,2.0,das25,DAS25,C,2.0,1.0,AHR7,N,2.0,ahr7,,
87.0,Industry Code (NIC) for activity 2,6,5/3.3,2.0,ind25,IND25,C,2.0,1.0,DAS16,C,2.0,das16,,
88.0,hours actuallly worked for activity 2 on 5 th day,6,6/3.3,2.0,hr25,HR25,N,2.0,1.0,IND16,C,2.0,ind16,,
89.0,wage earning for activity 2 on 5 th day,6,9/3.3,5.0,ern25,ERN25,N,5.0,1.0,HR16,N,2.0,hr16,,
90.0,total hours actually worked on 5th day,6,7/3.3,2.0,hr5,HR5,N,2.0,1.0,ERN16,N,5.0,ern16,,
91.0,hours available for aditional worked on 5th day,6,8/3.3,2.0,ahr5,AHR5,N,2.0,1.0,DAS26,C,2.0,das26,,
92.0,Status Code for activity 1,6,4/3.4,2.0,das14,DAS14,C,2.0,1.0,IND26,C,2.0,ind26,,
93.0,Industry Code (NIC) for activity 1,6,5/3.4,2.0,ind14,IND14,C,2.0,1.0,HR26,N,2.0,hr26,,
94.0,hours actuallly worked for activity 1 on 4th day,6,6/3.4,2.0,hr14,HR14,N,2.0,1.0,ERN26,N,5.0,ern26,,
95.0,wage earning for activity 1 on 4th day,6,9/3.4,5.0,ern14,ERN14,N,5.0,1.0,HR6,N,2.0,hr6,,
96.0,Status Code for activity 2,6,4/3.4,2.0,das24,DAS24,C,2.0,1.0,AHR6,N,2.0,ahr6,,
97.0,Industry Code (NIC) for activity 2,6,5/3.4,2.0,ind24,IND24,C,2.0,1.0,DAS15,C,2.0,das15,,
98.0,hours actuallly worked for activity 2 on 4th day,6,6/3.4,2.0,hr24,HR24,N,2.0,1.0,IND15,C,2.0,ind15,,
99.0,wage earning for activity 2 on 4th day,6,9/3.4,5.0,ern24,ERN24,N,5.0,1.0,HR15,N,2.0,hr15,,
100.0,total hours actually worked on 4th day,6,7/3.4,2.0,hr4,HR4,N,2.0,1.0,ERN15,N,5.0,ern15,,
