sec,stnew,strm,grp,sstrm,bstrm,Bstrm_name
1,19,14,2,1,D018,Paschim Medinipur
1,19,14,2,2,D018,Paschim Medinipur
1,20,14,1,1,D018,Jamtara
1,36,14,2,1,D018,Siddipet
2,3,14,9,1,D018,Sahibzada Ajit Singh Nagar
2,19,14,9,1,D018,Paschim Medinipur
2,20,14,9,1,D018,Jamtara
2,36,14,9,1,D018,Siddipet
1,10,15,2,1,D018,Vaishali
1,10,15,2,2,D018,Vaishali
1,10,15,2,3,D018,Vaishali
2,8,15,9,1,D018,Jalore
2,10,15,9,1,D018,Vaishali
1,6,16,2,1,D018,Gurugram
1,21,16,2,1,D018,Puri
1,21,16,2,2,D018,Puri
1,23,16,2,1,D018,Ujjain
1,23,16,2,2,D018,Ujjain
2,6,16,9,1,D018,Gurugram
2,6,16,9,2,D018,Gurugram
2,21,16,9,1,D018,Puri
2,23,16,9,1,D018,Ujjain
1,18,17,2,1,D018,Karimganj
1,18,17,2,2,D018,Karimganj
1,28,17,2,1,D018,Nandyal
1,28,17,2,2,D018,Nandyal
1,29,17,2,1,D018,Bengaluru (Urban)
2,18,17,9,1,D018,Karimganj
2,28,17,9,1,D018,Nandyal
1,9,18,2,1,D018,Budaun
1,9,18,2,2,D018,Budaun
2,9,18,9,1,D018,Budaun
2,29,201,9,1,D018,Bengaluru (Urban)
2,29,201,9,2,D018,Bengaluru (Urban)
2,29,201,9,3,D018,Bengaluru (Urban)
2,29,201,9,4,D018,Bengaluru (Urban)
2,29,201,9,5,D018,Bengaluru (Urban)
2,29,201,9,6,D018,Bengaluru (Urban)
2,29,201,9,7,D018,Bengaluru (Urban)
2,29,201,9,8,D018,Bengaluru (Urban)
2,29,201,9,9,D018,Bengaluru (Urban)
2,29,201,9,10,D018,Bengaluru (Urban)
1,9,518,2,1,D018,Budaun
1,1,12,2,1,D019,Udhampur
1,27,12,2,1,D019,Chhatrapati Sambhajinagar
1,27,12,2,2,D019,Chhatrapati Sambhajinagar
1,27,12,2,3,D019,Chhatrapati Sambhajinagar
2,1,12,9,1,D019,Udhampur
2,27,12,9,1,D019,Chhatrapati Sambhajinagar
1,33,14,2,1,D019,Thanjavur
1,33,14,2,2,D019,Thanjavur
2,33,14,9,1,D019,Thanjavur
2,33,14,9,2,D019,Thanjavur
1,3,15,2,1,D019,Sangrur
1,3,15,2,2,D019,Sangrur
1,8,15,2,1,D019,Sirohi
1,19,15,2,1,D019,Purba Medinipur
1,19,15,2,2,D019,Purba Medinipur
1,19,15,2,3,D019,Purba Medinipur
1,19,15,2,4,D019,Purba Medinipur
1,20,15,2,1,D019,Ranchi
1,20,15,2,2,D019,Ranchi
1,22,15,2,1,D019,Balodabazar-Bhatapara
1,22,15,2,2,D019,Balodabazar-Bhatapara
2,3,15,9,1,D019,Sangrur
2,19,15,9,1,D019,Purba Medinipur
2,22,15,9,1,D019,Balodabazar-Bhatapara
1,10,16,2,1,D019,Samastipur
1,10,16,2,2,D019,Samastipur
1,10,16,2,3,D019,Samastipur
2,8,16,9,1,D019,Sirohi
2,10,16,9,1,D019,Samastipur
1,21,17,2,1,D019,Ganjam
1,21,17,2,2,D019,Ganjam
1,21,17,2,3,D019,Ganjam
1,23,17,2,1,D019,Shajapur
1,24,17,2,1,D019,Vadodara
1,24,17,2,2,D019,Vadodara
2,21,17,9,1,D019,Ganjam
2,23,17,9,1,D019,Shajapur
1,18,18,2,1,D019,Hailakandi
1,28,18,2,1,D019,Sri Satya Sai
1,28,18,2,2,D019,Sri Satya Sai
1,28,18,2,3,D019,Sri Satya Sai
1,29,18,2,1,D019,Mandya
1,29,18,2,2,D019,Mandya
2,18,18,9,1,D019,Hailakandi
2,28,18,9,1,D019,Sri Satya Sai
2,29,18,9,1,D019,Mandya
1,9,19,2,1,D019,Bareilly
1,9,19,2,2,D019,Bareilly
2,9,19,9,1,D019,Bareilly
2,9,19,9,2,D019,Bareilly
2,9,19,9,3,D019,Bareilly
2,20,202,9,1,D019,Ranchi
2,20,202,9,2,D019,Ranchi
2,27,202,9,1,D019,Chhatrapati Sambhajinagar
2,24,203,9,1,D019,Vadodara
2,24,203,9,2,D019,Vadodara
2,24,203,9,3,D019,Vadodara
1,10,516,2,1,D019,Samastipur
1,9,519,2,1,D019,Bareilly
1,27,13,2,1,D020,Nashik
1,27,13,2,2,D020,Nashik
1,27,13,2,3,D020,Nashik
2,27,13,9,1,D020,Nashik
1,36,15,2,1,D020,Yadadri Bhuvanagiri
2,36,15,9,1,D020,Yadadri Bhuvanagiri
1,3,16,2,1,D020,Barnala
1,8,16,2,1,D020,Pali
1,8,16,2,2,D020,Pali
2,3,16,9,1,D020,Barnala
1,6,17,2,1,D020,Faridabad
1,10,17,2,1,D020,Begusarai
1,10,17,2,2,D020,Begusarai
1,10,17,2,3,D020,Begusarai
2,8,17,9,1,D020,Pali
2,10,17,9,1,D020,Begusarai
1,23,18,2,1,D020,Dewas
1,23,18,2,2,D020,Dewas
2,23,18,9,1,D020,Dewas
1,18,19,2,1,D020,Bongaigaon
1,29,19,1,1,D020,Hassan
1,29,19,2,1,D020,Hassan
2,18,19,9,1,D020,Bongaigaon
2,29,19,9,1,D020,Hassan
1,9,20,2,1,D020,Pilibhit
2,9,20,9,1,D020,Pilibhit
2,6,201,9,1,D020,Faridabad
2,6,201,9,2,D020,Faridabad
2,6,201,9,3,D020,Faridabad
2,27,203,9,1,D020,Nashik
2,27,203,9,2,D020,Nashik
